8AM: 956
TC8G: 484
4ODAM: 426
SC8G: 422
OE: 419
TOE: 386
AM: 357
TCG: 337
4ODCC8G: 301
8AR: 289
4ODCCG: 279
OR: 276
ODAM: 275
SCG: 272
4ODC8G: 265
8AE: 252
AR: 242
2AM: 223
TOR: 210
8G: 206
OHAM: 194
4ODAE: 188
SOE: 182
AE: 171
4OE: 170
TCCG: 163
TCOE: 153
ODCCG: 148
4ODG: 143
4ODAR: 143
2: 140
TDZG: 137
TG: 136
T8G: 135
OHC8G: 132
SCCG: 131
OHAE: 126
DAM: 123
ODAE: 123
4OHAM: 120
OHAR: 119
SO: 118
RAM: 116
ETC8G: 115
HZG: 113
ODAR: 110
4ODCG: 107
ODC8G: 106
SG: 103
SCOE: 103
8OE: 102
ODCC8G: 101
OHCCG: 96
8AIR: 96
OHG: 94
SOR: 92
4OHC8G: 92
8AN: 91
8AK: 89
2OE: 84
OHCC8G: 84
ODG: 83
TO8G: 83
4OHG: 83
TCOR: 82
4ODOE: 82
SCC8G: 79
2AR: 76
THZG: 74
TCO8G: 73
4ODTG: 71
TCO: 69
4OHCC8G: 69
4OHAE: 68
O8AM: 67
EDAM: 67
4ODAN: 66
TAR: 65
SDZG: 65
ORAM: 65
4OHTG: 64
DCC8G: 64
OHOE: 63
HZOE: 61
4OHAR: 61
AK: 59
OEAM: 59
HZCG: 57
TCC8G: 57
HAM: 56
8OR: 55
2AE: 55
R: 55
OEDAM: 55
ODCOE: 53
TCDG: 53
HOE: 53
GHAM: 52
SO8G: 52
4ODT8G: 52
OEG: 51
ODOE: 50
DAR: 50
DC8G: 50
DCCG: 49
TAM: 49
TCDZG: 49
GDAM: 48
TCAR: 48
G: 48
2OR: 48
TO: 48
ODCG: 48
S8G: 48
GDCCG: 47
SCOR: 47
HZOR: 46
4O8AM: 46
TO8AM: 45
DZG: 45
OHTG: 45
TAE: 45
4ODCOE: 45
ETCG: 45
HAR: 44
OPTC8G: 44
EOE: 43
TC8AM: 43
DAE: 43
OHCG: 42
HC8G: 42
SCO8G: 41
OEDCC8G: 41
SCO: 40
AIR: 40
O8G: 39
4OHOE: 39
EOR: 39
EDCC8G: 39
OEDCCG: 39
OHAK: 38
PTC8G: 38
DOE: 37
4OHCCG: 37
4ODTC8G: 37
K: 36
EDCCG: 36
2G: 35
TOHG: 35
SAR: 35
TDZCG: 35
OETC8G: 35
8SC8G: 35
SCDZG: 35
ESC8G: 35
DTG: 34
SCDG: 33
ODAN: 32
GDAR: 32
HTC8G: 32
OHCOE: 31
DZCG: 31
TODG: 31
4ODOR: 31
4ODCO8G: 31
EDAR: 31
ODTCG: 30
4ODTCG: 30
OAM: 30
OHTCG: 30
TCC2: 29
HTG: 29
OETCG: 29
OHOR: 29
ODTG: 29
TCAE: 29
SHZG: 29
TC2: 28
TCHZG: 28
TCO2: 28
M: 28
8TC8G: 28
OHTOE: 27
8: 27
8TG: 27
TDAM: 27
OHT8G: 27
EDC8G: 27
TC8AR: 27
OHTC8G: 27
HAE: 27
4OHCG: 26
4OAM: 26
TO2: 26
OPTCG: 26
OEDC8G: 26
4ODCCCG: 26
GTCCG: 25
DT8G: 25
4ODAK: 25
DTOE: 25
OEOR: 25
OESC8G: 25
RAR: 25
4OPTC8G: 25
SC: 24
4ODCCO: 24
2AIR: 24
ROE: 24
GDCC8G: 24
DTC8G: 24
DG: 23
8TOR: 23
DCOE: 23
ODCO8G: 23
8ARG: 23
0: 23
GHAR: 23
ODAK: 23
GHC8G: 23
TC8AE: 23
GHCC8G: 23
HTCG: 22
SCAR: 22
GHCCG: 22
SO8AM: 22
HTOR: 22
DTCG: 22
OE8G: 22
4ODZG: 22
SAE: 22
4OHTC8G: 22
SAM: 21
DTOR: 21
ODOR: 21
GDTG: 21
G8AM: 21
HOR: 21
8A: 21
TE: 21
4OR: 21
4ODCOR: 21
E8G: 21
SC8: 21
ODAIR: 21
RAE: 21
TOHZG: 20
DOR: 20
4O: 20
POE: 20
8TOE: 20
TCHG: 20
TAK: 20
DZOE: 20
GHG: 20
4OHOR: 20
8TCG: 20
SCHZG: 20
ARG: 20
ARAM: 20
4OHT8G: 20
OHAIR: 20
O8AR: 19
HZO: 19
2OM: 19
O: 19
8AEG: 19
OEOE: 19
ODCCCG: 19
DCO8G: 19
E: 19
GDC8G: 19
HT8G: 19
OEDG: 19
OHCO8G: 19
ODTC8G: 19
SC8AM: 19
EDG: 19
4OHTCG: 18
4ODTOE: 18
GTCOE: 18
T8AE: 18
T8AM: 18
T8AR: 18
4ODZCG: 18
ROR: 18
ESCG: 18
4OCC8G: 18
ORG: 17
OHTOR: 17
GHTG: 17
PZOE: 17
TODZG: 17
4O8G: 17
HZO8G: 17
4OPT8G: 17
ODT8G: 17
ET8G: 17
HCOE: 17
OEDAR: 17
TCCO: 17
HZAR: 16
GSCG: 16
TODAM: 16
TOK: 16
ODTOR: 16
TODTG: 16
8AE8G: 16
ODCOR: 16
EAM: 16
AEG: 16
TC8: 16
HCC8G: 16
GDAE: 15
DAIR: 15
TDG: 15
DCG: 15
O2: 15
GTCG: 15
TCCDG: 15
SCAE: 15
T2: 15
8E: 15
ODCCOE: 15
HZCCG: 15
AN: 15
GTCO: 15
ARAE: 15
OPT8G: 15
4OCCG: 15
OM: 14
GTOR: 14
4ODCTG: 14
HG: 14
HTOE: 14
OPTG: 14
GHAK: 14
HZC8G: 14
HCCG: 14
4ODAEG: 14
4ODCCO8G: 14
GTC8G: 14
OESCG: 14
EDTC8G: 14
SO8: 13
HZAM: 13
S: 13
OE2: 13
PZG: 13
4OHTOE: 13
OHAN: 13
TORG: 13
GHTOR: 13
TCO8AM: 13
TDCCG: 13
PTCG: 13
GHOE: 13
4OHTOR: 13
SOHZG: 13
TAN: 13
8SOR: 13
AE8G: 13
4ODCC8: 13
4ODAIR: 13
SCCDG: 13
RAK: 13
DZOR: 12
TDAR: 12
GDG: 12
PTOR: 12
4OHTO: 12
PTCOE: 12
OHZG: 12
TOHAM: 12
GTOE: 12
SCCOE: 12
TOHTG: 12
4OPTG: 12
HCG: 12
8AIIR: 12
RG: 12
ODTOE: 12
TOM: 12
GHAE: 12
TCCOR: 12
